MONA_CD,HJ_NM,HG_NM,PROFILE_UNIT_NM,PROFILE_UNIT_CD,PROFILE_SJ,FRTO_DATE
I7R13867,李介昊,이개호,제19대,100019.0,제19대 국회운영위원회,2014.08.25 ~ 2015.01.09
I7R13867,李介昊,이개호,제19대,100019.0,제19대 미래창조과학방송통신위원회,2014.08.13 ~ 2016.05.29
QUM8288K,李達坤,이달곤,제21대,100021.0,제21대 농림축산식품해양수산위원회,2022.07.22 ~ 
QUM8288K,李達坤,이달곤,제21대,100021.0,제21대 보건복지위원회,2021.09.07 ~ 2022.05.29
QUM8288K,李達坤,이달곤,제21대,100021.0,제21대 문화체육관광위원회,2020.07.06 ~ 2021.09.07
QUM8288K,李達坤,이달곤,제21대,100021.0,제21대 행정안전위원회,2020.06.29 ~ 2020.07.06
QUM8288K,李達坤,이달곤,제18대,100018.0,제18대 지식경제위원회,2008.08.26 ~ 2009.03.02
QUM8288K,李達坤,이달곤,제18대,100018.0,제18대 윤리특별위원회,2008.08.26 ~ 2009.02.05
QUM8288K,李達坤,이달곤,제18대,100018.0,제18대 민생안정대책특별위원회,2008.07.14 ~ 2008.08.14
RO593601,李東洲,이동주,제21대,100021.0,제21대 민생경제안정특별위원회,2022.08.29 ~ 
RO593601,李東洲,이동주,제21대,100021.0,제21대 산업통상자원중소벤처기업위원회,2022.07.22 ~ 
RO593601,李東洲,이동주,제21대,100021.0,제21대 국회운영위원회,2022.07.22 ~ 
RO593601,李東洲,이동주,제21대,100021.0,제21대 국회운영위원회,2022.04.07 ~ 2022.04.29
RO593601,李東洲,이동주,제21대,100021.0,제21대 산업통상자원중소벤처기업위원회,2020.06.15 ~ 2022.05.29
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 행정안전위원회,2022.07.22 ~ 
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 중앙선거관리위원회위원(남래진)선출에관한인사청문특별위원회,2022.07.12 ~ 2022.08.02
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 예산결산특별위원회,2022.03.14 ~ 2022.05.29
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 예산결산특별위원회,2021.07.02 ~ 2022.01.28
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 윤리특별위원회,2020.09.10 ~ 2022.05.06
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 농림축산식품해양수산위원회,2020.07.06 ~ 2022.05.29
OSV9142K,李晩熙,이만희,제21대,100021.0,제21대 행정안전위원회,2020.06.29 ~ 2020.07.06
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 국회 코로나19 대책 특별위원회,2020.03.16 ~ 2020.05.29
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 정치개혁 특별위원회,2019.08.22 ~ 2019.08.22
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 국회운영위원회,2019.08.14 ~ 2020.05.29
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 국회운영위원회,2019.03.11 ~ 2019.08.05
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 국회운영위원회,2018.12.31 ~ 2019.01.28
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 헌법재판소 재판관 선출에 관한 인사청문특별위원회,2018.09.06 ~ 2018.10.17
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 농림축산식품해양수산위원회,2018.07.16 ~ 2020.05.29
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 대법관(민유숙·안철상) 임명동의에 관한 인사청문특별위원회,2017.12.15 ~ 2017.12.20
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹사건 진상규명을 위한 국정조사특별위원회,2016.11.17 ~ 2017.01.15
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사특별위원회,2016.07.15 ~ 2016.10.04
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 미래일자리 특별위원회,2016.07.13 ~ 2017.06.30
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 농림축산식품해양수산위원회,2016.06.13 ~ 2018.05.29
OSV9142K,李晩熙,이만희,제20대,100020.0,제20대 국회운영위원회,2016.06.13 ~ 2016.12.29
6YT83269,李明洙,이명수,제21대,100021.0,제21대 외교통일위원회,2022.07.22 ~ 
6YT83269,李明洙,이명수,제21대,100021.0,제21대 행정안전위원회,2021.10.20 ~ 2022.05.29
